id,name,artists,album,album_id,album_artists,album_release_date,duration_ms,popularity,explicit,track_number,disc_number,is_local,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
15oELY0izcrdQX7SJvdhb4,Pure Love,"['Pure Gem', 'Blck Davinci']",Pure Love,2bnfc2ulXOyxd1J2XCUdUt,['Pure Gem'],2018-09-02,215256,26,True,2,1,False,15oELY0izcrdQX7SJvdhb4,0.479,0.778,11,-7.733,0,0.0569,0.00193,0.35,0.0919,0.113,127.966,4
1S1M0Y2PQxUryvsNLFqP6g,Marine (w/ Meeyo & Melon),['Pure Gem'],Re: Galaxy,1wyM9W7rA3C7zsW4cqUvlP,['Pure Gem'],2019-05-25,217800,11,False,2,1,False,1S1M0Y2PQxUryvsNLFqP6g,0.65,0.693,1,-7.092,0,0.0438,0.0014,0.166,0.134,0.174,100.098,4
4dT5zPaVtoYZwxilZSVNzU,Like You're Cute,['Pure Gem'],Re: Galaxy,1wyM9W7rA3C7zsW4cqUvlP,['Pure Gem'],2019-05-25,193900,9,False,6,1,False,4dT5zPaVtoYZwxilZSVNzU,0.838,0.706,2,-5.426,1,0.216,0.00029,0.0016,0.0971,0.039,108.045,4
0yPBFSZktePcp3pyiFShxZ,Superstar,"['Moe Shop', 'Hentai Dude']",Moshi Moshi,6Hh4Mrp0HDJUEdRk5ISHLu,['Moe Shop'],2016-03-25,163459,45,False,3,1,False,0yPBFSZktePcp3pyiFShxZ,0.651,0.786,1,-6.506,1,0.0803,0.000115,0.49,0.0867,0.413,112.01,4
2ZdJNjf4CvFVXHQNqrRFZP,You Look So Good,['Moe Shop'],Pure Pure,5ou70i3rn5dfppcCvyBThS,['Moe Shop'],2015-08-11,204565,50,False,2,1,False,2ZdJNjf4CvFVXHQNqrRFZP,0.666,0.729,11,-9.28,0,0.109,0.000262,0.000173,0.347,0.256,115.021,3
1yexFRzH2GvTpWZKhXHgrI,Kira Kira (w/ Tsundere Alley & Yuca),['Pure Gem'],Re: Galaxy,1wyM9W7rA3C7zsW4cqUvlP,['Pure Gem'],2019-05-25,190476,15,False,4,1,False,1yexFRzH2GvTpWZKhXHgrI,0.798,0.393,11,-10.242,0,0.307,0.00838,0.744,0.0582,0.449,125.992,4
66Xr1Ujbgha6xm48lQYSml,Crush,['Moe Shop'],Pure Pure,5ou70i3rn5dfppcCvyBThS,['Moe Shop'],2015-08-11,158930,39,False,3,1,False,66Xr1Ujbgha6xm48lQYSml,0.716,0.48,5,-9.427,1,0.4,0.00188,0.00956,0.182,0.741,125.044,4
6PrfIglvyqVxNe3RJEroDy,Too Spicy,['cute girls doing cute things'],Too Spicy,3NTlelepJWbfbzKLWQSsaH,['cute girls doing cute things'],2019-11-19,180214,37,False,1,1,False,6PrfIglvyqVxNe3RJEroDy,0.851,0.756,6,-3.864,1,0.32,0.152,0.00872,0.0917,0.447,128.067,4
7yOlTPHXSvs2IOybjya7q2,Yeah!,['fusq'],Yeah!,4hk1LaFOKbjZggwmsBDhat,['fusq'],2020-09-09,174545,38,False,1,1,False,7yOlTPHXSvs2IOybjya7q2,0.669,0.793,8,-5.418,1,0.0319,0.00011,0.887,0.325,0.418,131.996,4
1B7I1XSXciid0JztNLgH2U,Natural,"['Moe Shop', 'Ace Hashimoto']",Natural,4FlaTStRc0q6bV88rOUyJG,"['Moe Shop', 'Ace Hashimoto']",2016-12-03,215522,41,False,1,1,False,1B7I1XSXciid0JztNLgH2U,0.816,0.426,6,-10.788,1,0.281,2.02e-05,0.388,0.12,0.553,109.977,4
7nYH8g0PNyllPQ08RtRSN4,Bad Attitude,['cute girls doing cute things'],Ideal,7Lht2UscIlTJWjA09jPAaO,['cute girls doing cute things'],2020-05-11,219433,16,False,2,1,False,7nYH8g0PNyllPQ08RtRSN4,0.849,0.915,0,-1.404,1,0.0979,0.00543,0.0429,0.114,0.405,127.981,4
72fcuPjT9RbB802xcY0QDt,Baby Pink,"['Moe Shop', ""YUC'e""]",Moe Moe,4cQMG9J5WiIDMYaWf5axzy,['Moe Shop'],2018-03-15,296195,46,False,3,1,False,72fcuPjT9RbB802xcY0QDt,0.828,0.576,9,-8.924,0,0.0537,0.00121,0.0856,0.268,0.459,125.984,4
3QK9vZrgcvGdw30Tz1ZZzR,Healing,['Kotori'],Healing,2B7j1pk7mPD4xljSh2ryFa,['Kotori'],2018-07-27,201616,23,False,1,1,False,3QK9vZrgcvGdw30Tz1ZZzR,0.66,0.916,7,-3.084,0,0.0554,0.00041,0.413,0.107,0.352,74.975,4
6CTh3uhtOemhTE6qdVAbea,Higher,['Paper Skies'],Astronomy EP,3CFCzyoCoJ7v4Jgi9nO6Eb,['Paper Skies'],2020-08-21,259500,13,False,2,1,False,6CTh3uhtOemhTE6qdVAbea,0.573,0.786,6,-6.841,0,0.268,3.47e-05,0.144,0.148,0.435,79.839,4
